0.94, 3.46041, 2.6387, 1.39608, -2.13866 
0.95, 3.47453, 2.61704, 1.42835, -2.19356 
0.96, 3.48897, 2.59484, 1.45942, -2.24751 
0.97, 3.50372, 2.5721, 1.48923, -2.30049 
0.98, 3.51875, 2.54883, 1.51776, -2.35252 
0.99, 3.53407, 2.52505, 1.54498, -2.40364 
1, 3.54965, 2.50076, 1.5709, -2.45389 
1.01, 3.56548, 2.47597, 1.59549, -2.50336 
1.02, 3.58155, 2.4507, 1.61878, -2.55212 
1.03, 3.59785, 2.42493, 1.64076, -2.60028 
1.04, 3.61437, 2.39869, 1.66145, -2.64793 
1.05, 3.63108, 2.37198, 1.68086, -2.69521 
1.06, 3.64798, 2.34479, 1.69901, -2.74224 
1.07, 3.66505, 2.31713, 1.71592, -2.78916 
1.08, 3.68229, 2.28901, 1.73159, -2.83611 
1.09, 3.69968, 2.26041, 1.74604, -2.88324 
1.1, 3.71721, 2.23134, 1.75928, -2.93071 
1.11, 3.73486, 2.20179, 1.77131, -2.97869 
1.12, 3.75263, 2.17176, 1.78213, -3.02734 
1.13, 3.7705, 2.14124, 1.79174, -3.07685 
1.14, 3.78846, 2.11022, 1.80011, -3.12739 
1.15, 3.8065, 2.07869, 1.80725, -3.17915 
1.16, 3.8246, 2.04663, 1.81313, -3.23233 
1.17, 3.84276, 2.01404, 1.81773, -3.28713 
1.18, 3.86095, 1.98089, 1.82102, -3.34373 
1.19, 3.87917, 1.94716, 1.82297, -3.40235 
1.2, 3.89741, 1.91283, 1.82357, -3.46318 
1.21, 3.91564, 1.87789, 1.82279, -3.52642 
1.22, 3.93386, 1.84229, 1.82064, -3.59224 
1.23, 3.95205, 1.80603, 1.81714, -3.66079 
1.24, 3.9702, 1.76907, 1.81233, -3.73219 
1.25, 3.98829, 1.73138, 1.80632, -3.80649 
1.26, 4.00632, 1.69293, 1.79927, -3.88367 
1.27, 4.02428, 1.6537, 1.79146, -3.96358 
1.28, 4.04215, 1.61365, 1.78327, -4.04592 
1.29, 4.05994, 1.57277, 1.77526, -4.1302 
1.3, 4.07766, 1.53104, 1.76817, -4.21567 
1.31, 4.09531, 1.48846, 1.76302, -4.30123 
1.32, 4.11293, 1.44502, 1.7611, -4.38548 
1.33, 4.13055, 1.40076, 1.764, -4.46656 
1.34, 4.14823, 1.35571, 1.77363, -4.54228 
1.35, 4.16605, 1.30994, 1.7921, -4.61014 
1.36, 4.18411, 1.26354, 1.82166, -4.66751 
1.37, 4.20253, 1.21663, 1.86445, -4.7119 
1.38, 4.22145, 1.16935, 1.92225, -4.74134 
1.39, 4.24103, 1.12186, 1.99622, -4.75472 
1.4, 4.26143, 1.07431, 2.08665, -4.75215 
1.41, 4.28281, 1.02686, 2.19286, -4.7351 
1.42, 4.30533, 0.979649, 2.31325, -4.70636 
1.43, 4.32912, 0.932763, 2.44553, -4.66977 
1.44, 4.35427, 0.886264, 2.58705, -4.62981 
1.45, 4.38088, 0.840163, 2.73516, -4.59108 
1.46, 4.40899, 0.794424, 2.88752, -4.55796 
1.47, 4.43864, 0.748972, 3.04233, -4.53431 
1.48, 4.46984, 0.703696, 3.19845, -4.52335 
1.49, 4.50261, 0.658454, 3.35538, -4.52767 
1.5, 4.53695, 0.613084, 3.51327, -4.54938 
1.51, 4.57288, 0.567403, 3.6728, -4.5902 
1.52, 4.61042, 0.521211, 3.83518, -4.65171 
1.53, 4.6496, 0.474294, 4.00207, -4.73552 
1.54, 4.69048, 0.426421, 4.17557, -4.84346 
1.55, 4.73314, 0.377337, 4.35825, -4.97778 
1.56, 4.77769, 0.326767, 4.55326, -5.1414 
1.57, 4.82426, 0.274399, 4.76441, -5.33814 
1.58, 4.87305, 0.219877, 4.99641, -5.57309 
